name,ticker,exchange,description,website,is_pure_play_epi,epi_focus_score,drugs
Agios Pharmaceuticals,AGIO,NASDAQ,Pioneer in cancer metabolism and IDH inhibitors for AML and other cancers,https://www.agios.com,FALSE,70,"IVOSIDENIB,ENASIDENIB,VORASIDENIB,OLUTASIDENIB"
Bristol-Myers Squibb,BMY,NYSE,Global biopharma with legacy in hypomethylating agents through Celgene acquisition,https://www.bms.com,FALSE,25,"AZACITIDINE,DECITABINE,ROMIDEPSIN"
Ipsen,IPN,EPA,Acquired Epizyme and their EZH2 inhibitor platform,https://www.ipsen.com,FALSE,30,"TAZEMETOSTAT"
Novartis,NVS,NYSE,Global pharma with HDAC inhibitor Farydak for multiple myeloma,https://www.novartis.com,FALSE,15,"PANOBINOSTAT"
Spectrum Pharmaceuticals,SPPI,NASDAQ,Specialty pharma with HDAC inhibitor for lymphomas,https://www.sppirx.com,FALSE,40,"BELINOSTAT"
Chipscreen Biosciences,,SZSE,Chinese biotech pioneer in HDAC inhibitors,https://www.chipscreen.com,TRUE,90,"TUCIDINOSTAT"
Forma Therapeutics,,Private,IDH inhibitor developer acquired by Novo Nordisk,https://www.formatherapeutics.com,TRUE,85,"OLUTASIDENIB"
Servier,,Private,French pharma with rights to ivosidenib in certain territories,https://www.servier.com,FALSE,20,"IVOSIDENIB"
MorphoSys,MOR,NASDAQ,Acquired Constellation's pelabresib (BET inhibitor) platform,https://www.morphosys.com,FALSE,35,"PELABRESIB"
Prelude Therapeutics,PRLD,NASDAQ,Clinical-stage epigenetics-focused oncology company,https://www.preludetx.com,TRUE,95,""
Constellation Pharmaceuticals,,Acquired,Pioneer in BET inhibitors - acquired by MorphoSys,https://www.constellationpharma.com,TRUE,100,""
Omega Therapeutics,OMGA,NASDAQ,Programmable epigenetics using mRNA medicines,https://www.omegatherapeutics.com,TRUE,100,""
Tune Therapeutics,,Private,Epigenetic editing using zinc finger technology,https://www.tunetx.com,TRUE,100,""
Epicrispr Biotechnologies,,Private,CRISPR-based epigenetic editing for rare diseases,https://www.epicrispr.com,TRUE,100,""
Chroma Medicine,,Private,Epigenetic editing platform for precision medicines,https://www.chromamedicine.com,TRUE,100,""
Verve Therapeutics,VERV,NASDAQ,Gene editing and base editing for cardiovascular disease,https://www.vervetx.com,FALSE,60,""
Syndax Pharmaceuticals,SNDX,NASDAQ,Developing menin inhibitors and other targeted oncology,https://www.syndax.com,FALSE,50,"REVUMENIB,ENTINOSTAT"
Oryzon Genomics,ORY,BME,European leader in LSD1 and other epigenetic targets,https://www.oryzon.com,TRUE,95,"IADADEMSTAT"
Gilead Sciences,GILD,NASDAQ,Owns rights to enasidenib through partnership,https://www.gilead.com,FALSE,10,"ENASIDENIB"
Merck,MRK,NYSE,First FDA-approved HDAC inhibitor (Zolinza) for CTCL,https://www.merck.com,FALSE,15,"VORINOSTAT"
Curis,CRIS,NASDAQ,Clinical-stage oncology with multiple HDAC inhibitor programs,https://www.curis.com,FALSE,60,"FIMEPINOSTAT,MOCETINOSTAT,CUDC-101"
Janssen,JNJ,NYSE,J&J subsidiary developing quisinostat for hematologic cancers,https://www.janssen.com,FALSE,10,"QUISINOSTAT"
Xynomic Pharma,,Private,Developing abexinostat HDAC inhibitor for solid tumors and lymphomas,https://www.xynomicpharma.com,FALSE,50,"ABEXINOSTAT"
Pfizer,PFE,NYSE,Global pharma with discontinued HDAC inhibitor program,https://www.pfizer.com,FALSE,5,"TACEDINALINE"
