name,investing_url
Vertex,https://www.investing.com/equities/vertex-pharm
Gilead,https://www.investing.com/equities/gilead-sciences-inc
Amgen,https://www.investing.com/equities/amgen-inc
Biogen,https://www.investing.com/equities/biogen-idec-inc
Illumina,https://www.investing.com/equities/illumina,-inc.
Viatris,https://www.investing.com/equities/mylan-inc
Ionis Pharma,https://www.investing.com/equities/isis-pharma
Oruka Therapeutics,https://www.investing.com/equities/arca-biopharma
ACADIA,https://www.investing.com/equities/acadia-pharmaceuticals
Alkermes Plc,https://www.investing.com/equities/alkermes-plc
Alnylam,https://www.investing.com/equities/alnylam-pharmaceuticals
Arrowhead Pharma,https://www.investing.com/equities/arrowhead-research-corp
Vericel Corp Ord,https://www.investing.com/equities/aastrom-bioscienc
Sarepta,https://www.investing.com/equities/sarepta
BioCryst,https://www.investing.com/equities/biocryst-pharmaceuticals
Biomarin Pharma,https://www.investing.com/equities/biomarin-pharmaceuticals
Codexis,https://www.investing.com/equities/codexis
Cytokinetics Inc,https://www.investing.com/equities/cytokinetics
Dynavax,https://www.investing.com/equities/dynavax-tech
Avadel Pharma,https://www.investing.com/equities/flamel-tech
Amicus,https://www.investing.com/equities/amicus-therapeutics
Geron,https://www.investing.com/equities/geron-corp
Grifols ADR,https://www.investing.com/equities/grifols-sa
Halozyme,https://www.investing.com/equities/halozyme-therapeutics
Incyte,https://www.investing.com/equities/incyte-corp
Insmed,https://www.investing.com/equities/insmed
Amneal Pharma A,https://www.investing.com/equities/impax-laboratorie
Ironwood,https://www.investing.com/equities/ironwood-pharmaceuticals
Jazz Pharma,https://www.investing.com/equities/jazz-pharmaceuticals
Ligand,https://www.investing.com/equities/ligand-pharmaceuticals
Lexicon,https://www.investing.com/equities/lexicon-pharmaceuticals
MannKind,https://www.investing.com/equities/mannkind-corp
Neurocrine,https://www.investing.com/equities/neurocrine-biosci
Novavax,https://www.investing.com/equities/novavax
Omeros,https://www.investing.com/equities/omeros-corp
Pacific Biosciences,https://www.investing.com/equities/pacific-bioscienc
Pacira,https://www.investing.com/equities/pacira-pharmaceuticals
Eyepoint Pharma,https://www.investing.com/equities/psivida-corp
Rigel,https://www.investing.com/equities/rigel-pharmaceuticals
SIGA Tech,https://www.investing.com/equities/siga-technologies
Madrigal Pharma,https://www.investing.com/equities/synta-pharmaceuticals
Innoviva,https://www.investing.com/equities/theravance
Vanda,https://www.investing.com/equities/vanda-pharmaceuticals
Sanofi ADR,https://www.investing.com/equities/sanofi
Altimmune,https://www.investing.com/equities/pharmathene-inc
